Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
Setting allows account items to be deleted outside account period,CE-626,Idea,Idea Pipeline,Minor,Steven Freitas,Steven Freitas,20/05/2024 14:54,31/05/2024 15:38,"In Merlin you are able to delete unpaid account items outside of the accounting period (consolidation date), when a Merlin system setting is enabled (ticked).

Scenario:

1. Change accounting period to e.g. 01/05/2024

2. Open the account screen and right click on a treatment item that has not been paid (un-allocated) and outside of accounting period

3. Select ‘Delete Item’

4. You get the following message - click ‘Yes’

5. You may get this message asking to return to stock - click ‘Yes’

6. You may beg this message to select Stock Centre - click ‘Ok’

7. Now item is deleted



Administration > Settings > Treatment > 

+To stop the ability to delete unpaid account items outside of accounting period+:

Un-tick the following setting

!https://mwiahuk-cft.nethelpdesk.com/api/attachment/image?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6ImY2M2YwNzJmLTM4Y2MtNDRlOS1hZDFjLTdhZDU4YTc4NTM5ZSJ9.Td4d-XRYhH8mWVxIVbSZ5NP5wchf9IV9yKboKteV85g|width=50%!



+To enable the ability to delete unpaid account items outside of accounting period+:

Tick the following setting

!https://mwiahuk-cft.nethelpdesk.com/api/attachment/image?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjQzZWUzZWQ2LTMzYTMtNDBjOC1iZGJlLWU1NDBhZGZjOTRkZSJ9.oPNsBZPObUYUM2fm_MqflTNec7NMnjI9GFcpTQFRZHk|width=50%!",,Steven Freitas,,5eed2c15a6a7110ab57d358c,,,,,Improved user experience,,,VP Willows,,,,,Administration,,"Re-wording of the Merlin system setting. 

Currently it does not make readable sense as to what it is supposed to acheive.",,,,,,,,,,,Confused customers and support team who are assisting,,20/05/2024 14:54
Show Client pop-up note when booking appointments from the Merlin Diary screen,CE-625,Idea,Idea Pipeline,Minor,Jake Thompson,Jake Thompson,17/05/2024 15:10,17/05/2024 15:10,"When creating a new appointment in the Merlin Diary, the practice would like the client pop-up note of the respective client account to be presented to the user",,Jake Thompson,,610a4caa627b5600681ae343,,,,,Improved user experience,,,https://mwiahuk-cft.nethelpdesk.com/ticket?id=346790,,,,,Diary/Daylists,,Client pop-up notes are missed when booking straight from the Diary and not entering the account,,,,,,,,,,,Client pop-up notes are missed when booking straight from the Diary and not entering the account,,17/05/2024 15:10
To be able to increase the number of slots of the prescription list diary column,CE-624,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,17/05/2024 10:11,17/05/2024 10:11,To be able to increase the number of slots of the prescription list diary column,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Bute & Cowal Vets,,,,,Diary/Daylists,,On busy days there is not enough space on the prescriptions list in the diary,,,,,,,,,,,Overflow added to next day - has a knock on effect and can delay dispensing,,17/05/2024 10:11
Create more space on labels for long names,CE-623,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,09/05/2024 11:21,09/05/2024 11:21,"_Remove the 'Bold' text from, and/ or prevent customers with long names from being cut off labels_ ",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Donaldson's Vets Limited,,,,,,,Lack of space on labels for longer client names,,,,,,,,,,,It looks unprofessional,,09/05/2024 11:21
"reorder the items on the list of choices when creating a new ""order"" in Milab?",CE-622,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,24/04/2024 14:32,24/04/2024 14:32,"reorder the items on the list of choices when creating a new ""order"" in Milab?",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,Kriek and Gibson Veterinary Surgery,,,,,Lab,,"Order of test to select is not logical and also there are 2 different electrolyte panels/profiles, for different analysers, but they have the similar description EP = Electrolyte Profile; EPC200 = Electrolyte Panel",,,,,,,,,,,Incorrect tests are selected,,24/04/2024 14:32
Option to have sites Privacy Statement email to new client when registering,CE-621,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,15/04/2024 15:14,15/04/2024 15:14,Option to have sites Privacy Statement email to new client when registering,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved workflow,,,VP Willows - Head Office,,,,,Administration,,Ensuring clients receive correct privacy documents to consent appropriately and obtain informed consent whilst working towards sustainability and efficiency,,,,,,,,,,,"uninformed consent and possibly GDPR breaches, not to mention printing large documents",,15/04/2024 15:14
Repeat prescriptions show in Merlin as repeat prescriptions in the treatment history page ,CE-620,Idea,Idea Pipeline,Minor,Christian Thompson,Christian Thompson,12/04/2024 15:36,12/04/2024 15:36,Have repeat prescriptions show in Merlin as repeat prescriptions in the treatment history page ,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Broadland House Vets,,,,,,,The need to show the prescription in the patients record so that dispensing can be completed with out difficulty checking the prescription to comply with new legislation,,,,,,,,,,,We cannot easily produce repeat prescriptions and what is produced at present is not correct as puts all dates on as following days not months!,,12/04/2024 15:36
For Merlin passwords to be renewed every 6 months,CE-619,Idea,Idea Pipeline,Minor,Bruce Wood,Bruce Wood,10/04/2024 14:08,10/04/2024 14:08,|Able to increase the reset password option to 6 months|,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,TVEC Pietro Di Ludovico Ltd,,,,,Administration,,|We don’t want to change the password every 2 months as it is now.|,,,,,,,,,,,|Very difficult to keep track of all the passwords used and the passwords we are going to use as we can’t use old passwords.|,,10/04/2024 14:08
Destock batch stock levels and overall stock levels,CE-618,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,09/04/2024 10:34,09/04/2024 10:34,Request that there be an option to destock *batch* *Stock* *Levels* as well as *overall* *stock* regardless of the 'batch req' setting,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,cheivot Vets,,,,,,,"Trying to resolve the stock levels when booking out and receiving small animal drugs, we have not selected the batch code facility when adding products to Merlin, so we need the stock levels to match the batch code levels, currently it just destocks the stock level part of Merlin and not the batch code part of Merlin",,,,,,,,,,,"Our stock levels are not accurate, the new batch codes replace the old batch codes before they are booked out, so levels and batch codes are incorrect.",,09/04/2024 10:34
"Set prescribed by and dispensed by surgeons as a default, for prescription labels ",CE-617,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,03/04/2024 16:02,03/04/2024 16:02,"Set *prescribed by* and *dispensed by* surgeons as a default, for prescription labels ",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Cottimore Vets,,,,,,,"Incorrect details on the label. In a rush I can end up with Prescribed by and Dispensed by listed as Emma Nurse. This is incorrect and illegal.

We would like ONLY  Jackie Barnes Vet to be listed as the person listed under the ‘Prescribed by’ box.",,,,,,,,,,,Time taken to slow down dispensing of medication. Multiple labels printed in error needing to be re printed. Incorrect information on the label and patient history.,,03/04/2024 16:02
Prevent credited labels from being able to be printed,CE-616,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,28/03/2024 12:31,28/03/2024 12:31,"Once a medication has been credited and shows in green on the clients file, that the label can not be reprinted",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Sanderson Vets,,,,,,,Staff member reprinted label after meds had been credited and put back into stock,,,,,,,,,,,Client walking out with medication that has been credited,,28/03/2024 12:31
To be able to assign a colour to treatment (eg Administration Fee) to make it stand out in history and clinical notes,CE-615,Idea,Idea Pipeline,Major,Bruce Wood,Bruce Wood,27/03/2024 09:11,27/03/2024 09:11,_To be able to assign a colour to treatment (eg Administration Fee) to make it stand out in history and clinical notes_,,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,The Downs Veterinary Practice Limited,,,,,Clinical,, Be able to assign a colour to certain products or items to allow for ease of identification.,,,,,,,,,,,|can be missed or charged twice|,,27/03/2024 09:11
MiLab Request - Test Code,CE-614,Idea,Idea Pipeline,Major,James Bird,James Bird,25/03/2024 10:49,25/03/2024 10:49,"A mutual client of ours, the Voo veterinary group, has noted that a fuji slide is not on your list of tests. 

 

|CRP|Canine CRP|

 

Apologies we thought that this was already in Merlin but could we please have this added to the Merlin v2.3.83? 

 

Kind Regards",,James Bird,,5eed2c06a228c50ab951b6bf,,,,,,,,MiLab,,,,,,,Code Options,,,,,,,,,,,Unable to see code on analyser options,,25/03/2024 10:49
Wanting option for integration with Xero,CE-613,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,22/03/2024 10:41,22/03/2024 10:41,Wanting option for integration with Xero,,,,,,,,,,,,The Storrar Practice,,,,,,,Improve our accounting system,,,,,,,,,,,Our accountants have recommended we change from Sage to Xero,,22/03/2024 10:41
Invoices and receipts to include dispensing fee breakdown,CE-612,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,20/03/2024 11:48,20/03/2024 11:48," To have the dispensing fee breakdown included on invoice and receipts.
",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Vet Partners - Abbey Vet Practice,,,,,,,being more transparent with the breakdown of our costs.,,,,,,,,,,,clients unaware of the way our medication prices are structured.,,20/03/2024 11:48
"Prescription tab to change colour, if there is a repeat prescription in the tab.",CE-611,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,18/03/2024 14:14,19/04/2024 15:18,"Option for the Prescription tab. When viewing the patient for the prescription tab to change colour, if there is a repeat prescription in the tab.",,,,,,,,,,,,"Moray Coast Veterinary Group, Hatston Veterinary Centre Ltd.",,,,,,,"In the history/clinical of a patient, it would be beneficial if the Prescriptions tab was highlighted when a veterinary surgeon has allocated prescriptions ",,,,,,,,,,,Unable to see if a repeat has been allocated ,,18/03/2024 14:14
Modify batch number after dispensing treatments,CE-610,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,11/03/2024 09:05,11/03/2024 09:05,“ Allow vet to modify batch number once item dispensed”,,Jake Thompson,,610a4caa627b5600681ae343,,,,,,,,Ashley Veterinary Hospital,,,,,,,“Correct batch number being recorded on clinical record”,,,,,,,,,,,“Not being able to dispense in advance of item arriving in stock as batch number is not known.”,,11/03/2024 09:05
Lock treatment code from being changed,CE-609,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,08/03/2024 10:30,08/03/2024 10:30,"Create a way to lock a treatment code, so the price and quantity cannot be changed",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Vet Partners - Mark Nelson Vets,,,,,,,To stop vets being able to alter consult prices or the quantity. They can manually override currently. ,,,,,,,,,,,Vets being able to change the costings equates to loss of earnings/turnover,,08/03/2024 10:30
Option to print out a label that advises overdue vaccinations,CE-608,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,07/03/2024 15:33,07/03/2024 15:33,"	

When printing labels from reception. Have an extra option to print out a label that advises overdue vaccinations",,,,,,,,,,,,All Creatures Vet Centre Ltd,,,,,,,Needing an extra label option,,,,,,,,,,,Just having to write on the medication bag when boosters are due,,07/03/2024 15:33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Notes feature to allow formatting as shown before saving note,CE-587,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,07/12/2023 16:06,07/12/2023 16:06,"Edit or change the formatting of the notes displayed in Merlin, to allow bullet points, dropped lines as previously found in the old Voyager PMS",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Vet Partners,,,,,,,"The note function being more user friendly, we use the note function to make lists of actions needed that day, staff hours and holidays etc. On old system could bullet point this and would show up as a bullet point list, now on this system even if put bullet points just shows up as one long line of writing making it very difficult to distinguish - dont want to have to put 20 plus notes on the actions column putting things separately.",,,,,,,,,,,Mistakes being made and things missed as not clearly visible and readable.,,07/12/2023 16:06
